ReferenceID,SOName,Description,AbilityType,MultiplierStat,WeaponType,Projectile,Icon,Sound,BasePower,ManaCost,AreaOfEffect,StatModifierReferenceID,StatusReferenceID,Range,CanTargetSelf,CanTargetDiagonally,HighlightColor,UtilityType
ABILITY-0,Bash,Strong attack.,Attack,Strength,Slash,,bash.png,hammer-1a.wav,20,8,0,,,1,FALSE,FALSE,#f74825,
ABILITY-1,Push,Push object 1 tile.,Push,Stamina,Any,,push.png,hammer-1a.wav,0,20,0,,,1,FALSE,FALSE,#752a1b,
ABILITY-2,Determined Shot,Strong attack.,Attack,Agility,Shoot,FlyingArrow,determinedShot.png,hammer-1a.wav,20,8,0,,,6,FALSE,TRUE,#e3c739,
ABILITY-3,Poisoned Arrow,Poison and debuff target for 3 turns.,Attack,Agility,Shoot,FlyingArrow,poisonedArrow.png,hammer-1a.wav,0,20,0,MODIFIER-0,STATUS-0,4,FALSE,TRUE,#208729,
ABILITY-4,Heal Plus,Heals targets in a cross.,Heal,Intelligence,Any,,healPlus.png,hammer-1a.wav,20,12,1,,,4,TRUE,TRUE,#55FF65,
ABILITY-5,Haste,Haste target for 2 turns.,Buff,Intelligence,Any,,haste.png,hammer-1a.wav,0,8,0,MODIFIER-1,,4,TRUE,TRUE,#bdb528,
ABILITY-6,,,,,,,,,,,,,,,,,,
ABILITY-7,,,,,,,,,,,,,,,,,,
ABILITY-8,,,,,,,,,,,,,,,,,,
ABILITY-9,,,,,,,,,,,,,,,,,,
ABILITY-10,,,,,,,,,,,,,,,,,,
ABILITY-11,,,,,,,,,,,,,,,,,,
ABILITY-12,,,,,,,,,,,,,,,,,,
ABILITY-13,,,,,,,,,,,,,,,,,,
ABILITY-14,,,,,,,,,,,,,,,,,,
ABILITY-15,,,,,,,,,,,,,,,,,,
ABILITY-16,,,,,,,,,,,,,,,,,,
ABILITY-17,,,,,,,,,,,,,,,,,,
ABILITY-18,,,,,,,,,,,,,,,,,,
ABILITY-19,,,,,,,,,,,,,,,,,,
ABILITY-20,,,,,,,,,,,,,,,,,,
ABILITY-21,,,,,,,,,,,,,,,,,,
