ReferenceID,SOName,CharacterName,Portrait,Strength,Intelligence,Agility,Stamina,Body,Weapon,AbilitiesReferenceID,EnemyBrain
CHARACTER-0,First,First,Coubert.jpg,5,5,5,5,Base,Dagger,ABILITY-0 ABILITY-1 ABILITY-2,
CHARACTER-1,EnemyHealer,Jason,Eyck.jpg,5,5,5,5,Base,Staff,ABILITY-0,Healer
CHARACTER-2,EnemyMeele,James,Monet.jpg,5,5,5,5,Base,Spear,ABILITY-1,Meele
CHARACTER-3,EnemyRanged,Julian,Degas.jpeg,5,5,5,5,Base,Great Bow,ABILITY-2 ABILITY-1,Ranged
CHARACTER-4,,,,,,,,,,,
CHARACTER-5,,,,,,,,,,,
CHARACTER-6,,,,,,,,,,,
CHARACTER-7,,,,,,,,,,,
CHARACTER-8,,,,,,,,,,,
CHARACTER-9,,,,,,,,,,,
CHARACTER-10,,,,,,,,,,,
CHARACTER-11,,,,,,,,,,,
